Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km)
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5
CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10
CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.8
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7
DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2
DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7
DODGE,DART,MID-SIZE,2,4,M6,X,9.4
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1
DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5
DODGE,DART FFV,MID-SIZE,2,4,A6,X,9.9
DODGE,DART FFV,MID-SIZE,2,4,A6,E,14.2
DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6
DODGE,DART GT,MID-SIZE,2.4,4,M6,X,10.2
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,17.7
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.2
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5
FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7
FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9
FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,AM6,X,10
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,M6,X,9.3
FORD,C-MAX HYBRID,FULL-SIZE,2,4,AV,X,5.6
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.7
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,E,24.1
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.3
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.9
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5
FORD,E350 WAGON,VAN - PASSENGER,6.8,10,A5,X,23.9
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7
FORD,EDGE,SUV - SMALL,2,4,A6,X,11.3
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,12.6
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3
